taxonID,scientificName,scientificNameAuthorship,vernacularName,kingdom,taxonRank,nomenclaturalCode,parentNameUsageID,taxonomicStatus,acceptedNameID
797,Lepidoptera,,brush-footed butterflies,Animalia,order,`,,accepted,
7017,Nymphalidae,,,Animalia,family,ICZN,797,accepted,
1894779,Aglais,"Dalman, 1816",,Animalia,genus,ICZN,7017,accepted,
1894896,Aglais milberti,"(Godart, 1819)",Milbert's tortoiseshell,Animalia,species,ICZN,1894779,accepted,
5473,Lycaenidae,,,Animalia,family,ICZN,797,accepted,
1926044,Agriades,"Hübner, 1819",,Animalia,genus,ICZN,5473,accepted,
1926054,Agriades glandon,"(von Prunner, 1798)",arctic blue,Animalia,species,ICZN,1926044,accepted,
8020665,Agriades optilete,"(Knoch, 1781)",cranberry blue,Animalia,species,ICZN,1926044,accepted,
12074697,Agriades optilete subsp. yukona,,,Animalia,subspecies,ICZN,,synonym,8020665
,Anthocharis sara,,,Animalia,species,ICZN,,accepted,
,Argynnis atlantis,,,Animalia,species,ICZN,,accepted,
,Argynnis mormonia,,,Animalia,species,ICZN,,accepted,
,Argynnis zerene,,,Animalia,species,ICZN,,accepted,
,Boloria alaskensis,,,Animalia,species,ICZN,,accepted,
,Boloria astarte,,,Animalia,species,ICZN,,accepted,
,Boloria chariclea,,,Animalia,species,ICZN,,accepted,
,Boloria epithore,,,Animalia,species,ICZN,,accepted,
,Boloria eunomia,,,Animalia,species,ICZN,,accepted,
,Boloria freija,,,Animalia,species,ICZN,,accepted,
,Boloria frigga,,,Animalia,species,ICZN,,accepted,
,Boloria improba,,,Animalia,species,ICZN,,accepted,
,Boloria myrina,,,Animalia,species,ICZN,,accepted,
,Boloria natazhati,,,Animalia,species,ICZN,,accepted,
,Boloria polaris,,,Animalia,species,ICZN,,accepted,
,Callophrys augustinus,,,Animalia,species,ICZN,,accepted,
,Callophrys polios,,,Animalia,species,ICZN,,accepted,
,Carterocephalus skada,,,Animalia,species,ICZN,,accepted,
,Celastrina lucia,,,Animalia,species,ICZN,,accepted,
,Coenonympha tullia,,,Animalia,species,ICZN,,accepted,
,Colias boothii,,,Animalia,species,ICZN,,accepted,
,Colias christina,,,Animalia,species,ICZN,,accepted,
,Colias gigantea,,,Animalia,species,ICZN,,accepted,
,Colias hecla,,,Animalia,species,ICZN,,accepted,
,Colias nastes,,,Animalia,species,ICZN,,accepted,
,Colias palaeno,,,Animalia,species,ICZN,,accepted,
,Colias vitabunda,,,Animalia,species,ICZN,,accepted,
,Cupido amyntula,,,Animalia,species,ICZN,,accepted,
,Echinargus isola,,,Animalia,species,ICZN,,accepted,
,Erebia disa,,,Animalia,species,ICZN,,accepted,
,Erebia discoidalis,,,Animalia,species,ICZN,,accepted,
,Erebia epipsodea,,,Animalia,species,ICZN,,accepted,
,Erebia fasciata,,,Animalia,species,ICZN,,accepted,
,Erebia lafontainei,,,Animalia,species,ICZN,,accepted,
,Erebia mackinleyensis,,,Animalia,species,ICZN,,accepted,
,Erebia mancinus,,,Animalia,species,ICZN,,accepted,
,Erebia occulta,,,Animalia,species,ICZN,,accepted,
,Erebia pawloskii,,,Animalia,species,ICZN,,accepted,
,Erebia rossii,,,Animalia,species,ICZN,,accepted,
,Erebia youngi,,,Animalia,species,ICZN,,accepted,
,Erynnis persius,,,Animalia,species,ICZN,,accepted,
,Euchloe ausonides,,,Animalia,species,ICZN,,accepted,
,Euchloe creusa,,,Animalia,species,ICZN,,accepted,
,Euchloe ochracea,,,Animalia,species,ICZN,,accepted,
,Euphydryas anicia,,,Animalia,species,ICZN,,accepted,
,Glaucopsyche lygdamus,,,Animalia,species,ICZN,,accepted,
,Hesperia comma,,,Animalia,species,ICZN,,accepted,
,Icaricia saepiolus,,,Animalia,species,ICZN,,accepted,
,Limenitis arthemis,,,Animalia,species,ICZN,,accepted,
,Lycaena hypophlaeas,,,Animalia,species,ICZN,,accepted,
,Nymphalis antiopa,,,Animalia,species,ICZN,,accepted,
,Nymphalis l-album,,,Animalia,species,ICZN,,accepted,
,Oeneis alpina,,,Animalia,species,ICZN,,accepted,
,Oeneis bore,,,Animalia,species,ICZN,,accepted,
,Oeneis chryxus,,,Animalia,species,ICZN,,accepted,
,Oeneis jutta,,,Animalia,species,ICZN,,accepted,
,Oeneis melissa,,,Animalia,species,ICZN,,accepted,
,Oeneis philipi,,,Animalia,species,ICZN,,accepted,
,Oeneis polixenes,,,Animalia,species,ICZN,,accepted,
,Oeneis tanana,,,Animalia,species,ICZN,,accepted,
,Oeneis uhleri,,,Animalia,species,ICZN,,accepted,
,Papilio canadensis,,,Animalia,species,ICZN,,accepted,
,Papilio machaon,,,Animalia,species,ICZN,,accepted,
,Papilio zelicaon,,,Animalia,species,ICZN,,accepted,
,Parnassius eversmanni,,,Animalia,species,ICZN,,accepted,
,Parnassius phoebus,,,Animalia,species,ICZN,,accepted,
,Parnassius smintheus,,,Animalia,species,ICZN,,accepted,
,Phyciodes cocyta,,,Animalia,species,ICZN,,accepted,
,Phyciodes pulchella,,,Animalia,species,ICZN,,accepted,
,Pieris marginalis complex,,,Animalia,species,ICZN,,accepted,
,Pieris oleracea,,,Animalia,species,ICZN,,accepted,
,Pieris rapae,,,Animalia,species,ICZN,,accepted,
,Plebejus idas,,,Animalia,species,ICZN,,accepted,
,Polygonia faunus,,,Animalia,species,ICZN,,accepted,
,Polygonia gracilis,,,Animalia,species,ICZN,,accepted,
,Polygonia satyrus,,,Animalia,species,ICZN,,accepted,
,Pontia occidentalis,,,Animalia,species,ICZN,,accepted,
,Pyrgus centaureae,,,Animalia,species,ICZN,,accepted,
,Tharsalea dorcas,,,Animalia,species,ICZN,,accepted,
,Tharsalea mariposa,,,Animalia,species,ICZN,,accepted,
,Vanessa atalanta,,,Animalia,species,ICZN,,accepted,
,Vanessa cardui,,,Animalia,species,ICZN,,accepted,
